SMILES,Name,Cluster,Center
c1ccccc1,p1_10,26,No
C1CCOCC1,p1_67,26,No
O=c1ccoc2ccccc12,p1_147,16,No
C1CCOC1,p1_63,26,No
C1CCCCC1,p1_161,26,Yes
c1ccoc1,p1_35,26,No
C1CCCC1,p1_132,26,No
c1ccc2[nH]ccc2c1,p1_162,16,No
O=C1C=CCO1,p1_145,26,No
c1ccncc1,p2_276,26,No
c1cc[nH]c1,p2_146,26,No
C1CO1,p1_36,26,No
C1=CCCCC1,p1_62,20,Yes
O=C1CCOc2ccccc21,p1_148,1,No
c1ccc2c(c1)CCCO2,p3_10,1,No
c1c[nH]cn1,p6_213,26,No
O=c1ccc2ccccc2o1,p2_277,16,No
c1ccc2c(c1)OCO2,p3_126,6,No
O=C1CCCO1,p2_85,26,No
c1ccc2ccccc2c1,p10_23,16,Yes
C1CCNC1,p3_68,26,No
C1=C2[C@@H](CC[C@H]3CCCC[C@@H]23)[C@@H]2CC[C@H]3CCCC[C@@H]3[C@H]2C1,p7_28,24,No
C1CCNCC1,p4_344,26,No
O=C1c2ccccc2C(=O)c2ccccc21,p6_75,16,No
O=c1c2ccccc2oc2ccccc12,p5_101,16,No
O=c1cccco1,p1_146,16,No
c1ccc2c(c1)CCO2,p3_247,1,No
O=C1C=CCCC1,p1_149,20,No
O=C1C=CCCO1,p1_323,20,No
C1CC[C@@H]2CC[C@H]3[C@@H]4CCC[C@H]4CC[C@@H]3[C@H]2C1,p2_203,24,No
C=C1C=CC(=O)O1,p4_12,26,No
C1=Cc2ccccc2OC1,p5_40,1,No
O=C1C=CC(=O)C=C1,p1_65,26,No
c1ccc2occc2c1,p5_100,16,No
c1ccc2c(c1)CCNC2,p2_274,1,No
O=C1CCCN1,p4_329,9,No
C1CC1,p3_22,26,No
c1ncc2nc[nH]c2n1,p4_178,26,No
O=C1C=CC(=O)c2ccccc21,p3_218,16,No
C=C1CCCCC1,p1_24,26,No
c1cscn1,p3_213,26,No
C1=C2CCCC[C@@H]2[C@H]2CC[C@@H]3CCC[C@H]3[C@@H]2C1,p1_38,24,No
c1ccc2[o+]cccc2c1,p9_1,16,No
c1ccc2c(c1)CCCC2,p2_90,1,No
O=c1cc[nH]c(=O)[nH]1,p6_180,16,No
O=C1C=CCC1,p2_100,13,No
O=c1ccc2cc3ccoc3cc2o1,p1_144,16,No
C1=CCCC1,p2_142,20,No
C1=COCCC1,p2_154,20,No
c1ccc2c(c1)[nH]c1cnccc12,p2_275,16,No
c1cc2c[nH]cc2[nH]1,p51_14,16,No
O=C1c2ccccc2C(=O)c2cc3c(cc21)CCCC3,p5_194,1,No
O=C1OCCc2ccccc21,p5_87,1,No
C1CC[C@H]2CCCC[C@@H]2C1,p1_18,12,No
c1ccsc1,p3_265,26,No
O=C1OCc2ccccc21,p2_143,1,No
C1=CCCC=C1,p3_222,20,No
O=c1ccocc1,p7_379,16,No
O=C1CCCCO1,p1_130,26,No
O=C1CCCCC1,p1_314,26,No
c1ccc2ncccc2c1,p2_104,16,No
C1=CN2CNCC2C2CCCCC12,p50_24,26,No
O=C1C=CC(=O)N1,p1_120,26,No
C1C[C@H]2CC[C@@]34C[C@@]35CCCC[C@@H]5CC[C@H]4[C@@H]2C1,p4_191,12,No
O=C1C=CCN1,p2_150,26,No
C=C1CCOC1=O,p3_100,26,No
C1=C[C@H]2CCC[C@H]2CO1,p2_287,12,No
C=C1CC[C@H]2CCCC[C@@H]2C1,p1_20,12,No
C1=C[C@@H]2CCCC[C@H]2CC1,p1_121,20,No
O=C1CNC(=O)CN1,p6_181,9,Yes
C1=Cc2ccccc2CC1,p13_87,1,No
C1CC[C@@H]2CCC3=C(CC[C@@H]4CCC[C@@H]34)[C@H]2C1,p4_297,12,No
O=c1nccc[nH]1,p7_13,16,No
O=C1C=CCC=C1,p1_66,26,No
O=C1c2ccccc2Cc2ccccc21,p9_125,1,No
C1=C[C@H]2CCCC[C@@H]2CC1,p1_123,20,No
O=c1ccoc2cc3c(cc12)CCCO3,p18_194,1,No
O=C1CCCc2ccccc21,p10_90,1,No
O=C1CCCC1,p4_272,26,No
C1CC[C@@H]2CC[C@@H]3[C@H](CC[C@@H]4[C@H]5CCC[C@@H]5CC[C@H]43)[C@H]2C1,p5_138,24,No
O=C1CCCc2cc3ccccc3cc21,p5_289,16,No
c1ccc2c(c1)[nH]c1ccccc12,p5_112,16,No
c1cocn1,p3_115,26,No
C=C1CCCC2(CCCC2)C1,p44_109,26,No
C1CC[C@H]2[C@@H](C1)CC[C@H]1[C@H]3CCC[C@H]3CC[C@H]21,p2_232,24,No
C1CNCN1,p44_99,26,No
C1CCOOC1,p1_320,26,No
c1ccc2c(c1)CCc1ccccc1-2,p104_156,1,No
C1OC[C@H]2COC[C@@H]12,p23_80,26,No
O=c1cccc[nH]1,p1_246,16,No
O=C1Oc2ccccc2Oc2ccccc21,p57_101,16,No
O=c1occc2ccccc12,p3_116,16,No
O=c1ccc2ccc3c(c2o1)CCCO3,p9_61,1,No
C1CCC2(CC1)CCCC2,p43_27,26,No
C1=C2CCCC[C@@H]2[C@H]2CC[C@@H]3CCC[C@@H]3[C@@H]2C1,p1_40,24,No
c1ccc2c(c1)ccc1ccccc12,p92_113,16,No
C1=CCOCC1,p1_322,20,No
c1cc[nH+]cc1,p2_202,26,No
C1CCC1,p6_57,26,No
C1CCC2(CCCCO2)OC1,p4_341,26,No
c1ccc2c3c([nH]c2c1)CNCC3,p2_273,16,No
C=C1CC=COC1,p15_85,26,No
O=C1CCc2ccccc2CC#CC12CCCCC2,p92_149,1,No
C=C1C(=O)CNC1=O,p4_106,9,No
O=c1cc[nH]c2ccccc12,p5_85,16,No
c1ccc2c(c1)OCCO2,p3_248,1,No
O=C1NCNC2NCNC12,p44_71,26,No
C1=NCCCN1,p11_175,26,No
c1ccc2nc3ccccc3nc2c1,p5_102,16,No
c1ccc2c(c1)CCc1c-2ccc2c1CCCO2,p15_233,1,No
C1COCO1,p2_281,26,No
O=c1[nH]cnc2ccccc12,p7_318,16,No
C=C1CCC[C@@H]2CCCC[C@@H]12,p41_119,12,No
C1=CCNCCc2cccc(c2)CCC1,p151_50,20,No
C1CC[C@@]23C[C@@H](CC[C@@H]2C1)CO3,p8_342,12,No
C=C1C=COc2cc3c(cc21)CCO3,p90_41,1,No
O=c1oc2cccc3c(=O)oc4cccc1c4c23,p8_293,16,No
c1ccc2c(c1)CCCCc1cc3c(cc1-2)OCO3,p30_10,6,No
O=C1C=COC1,p1_37,26,No
c1cncnc1,p12_207,26,No
c1ccc2c(c1)oc1ccccc12,p83_90,16,No
C1=C2CCCC[C@@H]2[C@H]2CC[C@H]3[C@@H](C[C@@H]4O[C@]5(CCCCO5)C[C@@H]43)[C@@H]2C1,p8_272,24,No
c1cc2c3c(c1)CNc1cc4c(c(c1-3)CC2)CCCO4,p82_167,1,No
C1CNCCN1,p6_212,26,No
O=C1CCc2ccccc21,p10_1,1,No
O=C1CCCOC1,p1_313,26,No
c1cc2c(cn1)CSSCCCCCC2,p44_61,26,No
c1ccc2cc3ccccc3cc2c1,p46_1,16,No
c1ccc2cc3c(ccc4[nH]ccc43)cc2c1,p119_19,16,No
C1CCC2(C1)CCCC2,p44_154,26,No
O=c1c2ccccc2[nH]c2ccccc12,p104_108,16,No
O=C1CCOC(=O)CNC(=O)CNC(=O)CN2CCC[C@H](NC(=O)CN1)C2=O,p6_202,9,No
C=C1C2C=CCC1C1(CCCC1)CC2,p151_51,20,No
C1=C[C@@H]2CCCC[C@@H]2CC1,p1_122,20,No
C1=C2[C@@H]3CCC[C@H]3CC[C@@H]2[C@H]2CCCC[C@@H]2C1,p1_78,24,No
c1ccc2c(c1)CC[C@H]1CCCC[C@H]21,p1_202,1,No
C1CC2CCCN2C1,p7_207,26,No
c1cnccn1,p43_81,26,No
C1CCC2OC3CCCCCC3C2CC1,p91_61,12,No
C1=CC[C@H]2CCCC[C@@H]2C1,p1_33,26,No
c1ccc2c(c1)CCC2,p10_198,1,No
C1C[C@H]2CC[C@@H](C1)N2,p9_73,26,No
O=C1NC(=O)N2Cc3[nH]c4ccccc4c3CC12,p43_41,16,No
O=c1ccoc2cc3c(cc12)C=CCO3,p18_137,16,No
C=C1CCC[C@H]2CCCC[C@H]12,p41_120,12,No
O=C1NCc2ccccc21,p5_88,16,No
O=C1Cc2ccccc2N1,p1_69,16,No
O=c1ccc2nc3ccccc3oc-2c1,p7_2,16,No
C1CC[C@H]2O[C@H]2C1,p4_264,26,No
C=C1C=CC=CCOCC#CCC=CCC1,p63_64,20,No
C=C1CCCO1,p16_209,26,No
C=C1CC[C@@H]2CCCC[C@@H]2C1,p1_21,12,No
C=C1CCC(=O)CC1,p93_134,26,No
O=C1OCc2cc3ccccc3cc21,p76_59,16,No
O=c1ccc2ccccc2[nH]1,p5_80,16,No
C=C1Oc2ccccc2C1=O,p38_158,16,No
O=c1ccc2cc3c(cc2o1)OCC3,p16_237,1,No
c1ccc2c(c1)CCN2,p11_182,1,No
C=C1CC[C@@H]2CCCC[C@H]2C1,p1_23,12,No
