SMILES,Name,Cluster,Center
c1ccccc1,p1_3,0,No
C1CCNCC1,p1_4,12,No
c1ccncc1,p1_6,0,No
c1cn[nH]c1,p1_32,0,No
C1CNCCN1,p1_5,0,No
c1ccoc1,p1_7,0,No
C1CCNC1,p1_1,12,No
c1ccsc1,p1_11,0,No
C1COCCN1,p1_28,21,No
c1cncnc1,p1_29,0,No
C1CCCCC1,p1_24,12,Yes
c1cscn1,p1_39,0,No
C1CC1,p1_44,12,No
c1nnc[nH]1,p1_107,0,No
c1c[nH]cn1,p1_2,0,No
c1cc[nH]c1,p1_157,0,No
c1ccc2[nH]ccc2c1,p1_84,8,No
C1CCCC1,p1_23,12,No
c1ccc2ccccc2c1,p1_87,8,No
C1CCOC1,p1_35,21,No
c1ncon1,p1_43,0,No
O=C1CCCN1,p1_34,19,No
c1cnoc1,p1_30,0,No
c1ccc2c(c1)OCO2,p1_94,10,No
c1ccc2[nH]cnc2c1,p1_51,8,No
c1ccc2ncccc2c1,p1_105,8,No
c1nc[nH]n1,p1_102,0,No
c1ccc2scnc2c1,p1_185,8,No
c1nncs1,p1_118,0,No
O=c1[nH]cnc2ccccc12,p2_116,1,No
C1CCOCC1,p1_31,21,No
C=C1SC(=O)NC1=O,p5_256,19,No
C=c1sc2n(c1=O)CC=CN=2,p25_24,3,No
c1nnn[nH]1,p1_85,0,No
c1ccc2c(c1)OCCO2,p1_169,10,No
c1cnccn1,p1_33,0,No
C=C1C(=O)NC(=O)NC1=O,p3_51,19,No
C=C1SC(=S)NC1=O,p2_163,19,No
c1nnco1,p1_106,0,No
S=C1NCCN1,p3_78,19,No
C1CCCNCC1,p1_10,12,No
C1CCC1,p1_47,12,No
c1ccc2occc2c1,p2_7,8,No
c1cocn1,p2_12,0,No
C=C1SC(=N)NC1=O,p2_165,19,No
O=C1C=CCN1,p2_177,3,No
c1ccc2ocnc2c1,p2_10,8,No
O=S1(=O)CCCC1,p1_189,12,No
c1cc2c(s1)CCCC2,p2_33,6,No
O=c1ccc2ccccc2[nH]1,p2_60,10,No
c1c[nH]nn1,p1_119,0,No
c1ccc2c(c1)CCN2,p2_50,10,No
c1ccc2c(c1)CCNC2,p1_141,10,No
O=C1NC(=O)c2ccccc21,p1_173,10,No
C1CNCCNC1,p1_121,12,No
C1C2CC3CC1CC(C2)C3,p1_156,21,No
O=c1cccc[nH]1,p2_30,10,No
c1cnc2ccnn2c1,p1_40,3,No
O=C1CCC(=O)N1,p2_59,19,No
C1=CCCCC1,p1_27,0,No
c1ccnnc1,p2_13,0,No
O=C1CNCCN1,p1_124,19,No
c1ccc2c(c1)CCCN2,p2_15,10,No
O=c1ccnc[nH]1,p1_38,1,No
O=c1cccn[nH]1,p1_187,3,No
c1ccc2c(c1)CCCC2,p1_25,6,No
C1CNC1,p2_14,12,No
c1ccc2c(c1)CCO2,p1_162,6,No
O=C1CNC(=O)N1,p1_192,19,No
O=c1ccc2ccccc2o1,p3_79,8,No
C=C1CNC(=O)C1=O,p2_171,19,No
c1ccc2c(c1)CCC2,p1_26,6,No
C1=NNCC1,p2_53,0,No
O=C1CCCC2=C1CC=CN2,p3_89,12,No
O=C1CCCCN1,p2_72,19,No
C=C1C(=O)NC(=S)NC1=O,p9_172,19,No
C=C1NC(=O)NC1=O,p7_61,19,No
c1ccn2ccnc2c1,p1_101,8,No
c1ccc2sccc2c1,p1_12,8,No
O=C1NC=CCN1,p6_261,19,No
c1ccc2c(c1)CCCO2,p1_184,6,No
C1C[C@H]2CC[C@H]1C2,p1_125,21,No
O=c1cc[nH]c(=O)[nH]1,p2_45,1,No
O=c1[nH]c(=O)c2[nH]cnc2[nH]1,p3_144,1,No
c1ccc2ncncc2c1,p1_108,8,No
c1ccc2c(c1)NCCO2,p1_155,10,No
c1ccc2nccnc2c1,p3_26,8,No
c1nn[nH]n1,p8_15,0,No
c1ccc2[nH]nnc2c1,p2_110,8,No
O=c1cc[nH]c2ccccc12,p2_61,1,No
O=c1[nH]cnc2sccc12,p6_167,1,No
c1nn2cnnc2s1,p11_55,0,No
C1CCCCCC1,p1_180,12,No
O=C1Cc2ccccc2N1,p2_151,10,No
O=c1ccoc2ccccc12,p2_62,8,No
c1ncncn1,p5_64,0,No
c1csnn1,p2_2,0,No
c1ccc2[nH]ncc2c1,p2_11,8,No
C=C1C=NNC1=O,p3_85,3,No
c1ncc2ccsc2n1,p8_257,0,No
c1cnc2[nH]ncc2c1,p1_41,8,No
c1ncc2cn[nH]c2n1,p2_90,1,No
c1cnc2ncnn2c1,p6_234,3,No
O=C1COc2ccccc2N1,p2_48,10,No
c1n[nH]c2c1CCCC2,p1_174,12,No
O=C1CCCC2=C1CC1=C(CCCC1=O)N2,p19_54,12,No
c1cc2n(n1)CCNC2,p1_145,3,No
c1cc2n(n1)CCCN2,p1_90,3,No
C1CNCCOC1,p1_134,28,No
O=C1NCc2c1oc1ccccc1c2=O,p3_75,10,No
O=c1[nH]c2ccccc2[nH]1,p3_163,10,No
O=c1ccnc2ccccn12,p2_87,3,No
O=c1[nH]ncc2ccccc12,p2_83,8,No
C1=NOCC1,p2_76,0,No
C1CSCCN1,p1_139,0,No
N=C1NC(=O)CS1,p2_174,19,No
c1cnon1,p2_49,0,No
O=c1cc[nH]cc1,p2_36,3,No
C=C1N=COC1=O,p3_82,3,No
c1ccc2c(c1)CNCCO2,p3_45,10,No
c1cnn2cnnc2c1,p3_93,3,No
O=c1[nH]cnc2sc3c(c12)CCCC3,p2_162,25,No
C=C1C(=O)Nc2ccccc21,p2_164,10,No
O=c1cc[nH][nH]1,p2_8,3,No
O=C1CCCC2=C1CNc1ccccc1N2,p9_148,10,No
c1cnsc1,p5_239,0,No
c1ccc2c(c1)Cc1ccccc1-2,p1_161,10,No
S=c1[nH]cn[nH]1,p3_177,1,No
O=c1[nH]c2ccccc2o1,p2_1,10,No
C1=CNc2ncnn2C1,p8_116,3,No
c1ccn2cnnc2c1,p2_63,8,No
c1ccc2n[nH]nc2c1,p2_115,8,No
C=C1C=CNC1=O,p2_166,3,No
O=c1[nH]cnc2ccsc12,p10_91,1,No
c1ncc2nc[nH]c2n1,p3_202,1,No
O=c1[nH]cn[nH]1,p3_215,1,No
O=c1[nH]c2ccccc2s1,p2_120,10,No
O=C1NCc2ccccc21,p6_233,10,No
O=C1CCc2ccccc2N1,p3_120,10,No
c1ncc2c(n1)CCNC2,p1_104,6,No
c1cn2ccsc2n1,p2_68,3,No
c1ccc2nsnc2c1,p3_88,8,No
c1cc2c(s1)CCC2,p12_137,6,No
O=C1CSCN1,p3_47,19,No
B1OCCO1,p2_17,21,No
c1cc2n(n1)CCCNC2,p1_146,3,No
c1ccc2cnccc2c1,p2_73,8,No
c1ccc2c(c1)OCCCO2,p1_168,6,No
S=C1NC=CCN1,p8_233,0,No
C=C1SC=NC1=O,p9_178,3,No
C1COC2(C1)CCNCC2,p1_56,28,No
C=C1NC(=S)NC1=O,p7_62,19,No
